CurrentDateTime,RSSI,RSRP,RSRQ,RSSNR,CQI,TA,Level,ANDRO_ID,Bitrate (DataSource),Bitrate (Mpd),Resolution (Displayed),Resolution (Mpd),Rebuffering (Last),Segment Size,State Current
2024-02-14T15:41:00.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7582,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:01.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7582,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:02.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8405,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:03.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8405,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:04.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7448,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:05.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7448,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:06.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8297,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:07.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9777,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:08.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9777,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:09.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9777,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:10.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9777,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:11.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9777,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:12.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7535,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:13.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7535,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:14.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6741,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:15.408,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6741,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:16.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6625,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:17.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6625,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:18.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7757,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:19.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7757,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:20.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7757,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:21.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7994,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:22.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7994,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:23.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8190,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:24.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8190,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:25.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8190,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:26.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8314,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:27.408,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8314,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:28.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6551,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:29.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6551,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:30.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6551,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:31.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6551,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:32.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7205,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:33.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7205,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:34.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8779,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:35.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8779,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:36.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9316,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:37.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9316,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:38.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8495,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:39.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8495,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:40.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8495,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:41.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8495,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:42.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8147,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:43.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8147,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:41:44.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6841,4375,1920x1080,1920x1080,962,2.0,STATE_READY
